"video_id","titulo","canal","pais_id","fecha_publicacion","fecha_snapshot","vistas","likes","comentarios","duracion_min","categoria_id"
"hqEuNKw0yS0","EL PELIGRO DIVIDE BROOKHAVEN RP..","SoyWelix Brookhaven",3,"2026-01-11","2026-01-12",153988,1858,86,"13.97",22
"KTo8C91oTRc","HEY BABY (Remake)","MATIAS ISMAEL - Topic",3,"2026-01-10","2026-01-12",5214,150,0,"2.42",10
"adZsd0YwctU","Sobreviví a un Apocalipsis Zombie en Minecraft!","Trolero",3,"2026-01-11","2026-01-12",83945,1902,165,"26.33",20
"mG_vaR9CECA","K4OS - Tan fácil (Video Oficial)","K4OS",3,"2026-01-09","2026-01-12",680659,61168,7587,"3.52",10
"4mmvfpoE000","Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals","Flygame Animals",3,"2026-01-11","2026-01-12",271078,12656,191,"10.58",1
"mELq2UMIaZo","Mi Cama Huele A Ti (Turreo  Edit) DJ Manuso","DJ Manuso",3,"2026-01-07","2026-01-12",31734,262,7,"3.87",10
"6NTam8LVvsE","El Fredbear Mas Rapido Ahora Es Santa Claus / Those Nights At Fredbears Navideño","Omenasito",3,"2026-01-10","2026-01-12",442031,14381,1279,"23.18",20
"VyOgrJfBxh0","Ana Gabriel - Quién Como Tú (Letra)","RIXELUS",3,"2026-01-05","2026-01-12",140820,333,3,"3.53",10
"hO6fQNj5WLc","Probé Steal a Brainrot por ULTIMA VEZ???","SoyNeto",3,"2026-01-11","2026-01-12",136896,3204,553,"28.8",20
"SqGgop-FPzY","Survivor - Eye Of The Tiger (Sub. Español + Lyrics) • Rocky III Soundtrack","nostalgia lyrics.",3,"2026-01-04","2026-01-12",109598,1033,20,"4.07",10
"uOmnIV2HK4I","ESCAPA del MEGA TSUNAMI de BRAINROTS en Roblox...","Neto y Flex",3,"2026-01-10","2026-01-12",667914,6268,608,"37.87",20
"6_f7SGkjToM","Tu Nombre en la Oscuridad","JERRY'S SOUND ROOM - Topic",3,"2026-01-06","2026-01-12",97418,2379,0,"4.15",10
"SWbpjWHMyWw","TRADEO un NOOBINI por BRAINROTS OG!😱 Steal a Brainrot","Jonbtc",3,"2026-01-11","2026-01-12",107082,1963,170,"36.68",20
"_i4hYffyswE","Djo - End Of Beginning [video lyrics + letra]","Stream Lyrics",3,"2026-01-08","2026-01-12",143394,2544,20,"3.17",10
"MBEHLMT4Vek","Avances PUEBLO NORDICO y Novedades (MINECRAFT SURVIVAL en DIOSESMC)","VEGETTA777",3,"2026-01-11","2026-01-12",123590,7483,45,"221.02",20
